"Experiment","CPU Time(Secs)","Method Name"
"test.16.er","12.469","eu.prismacloud.primitives.zkpgs.keys.SignerKeyPair.keyGen(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.16.er","12.229","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeSpecialRSAModulus(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.16.er","12.219","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomSafePrime(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.16.er","12.219","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateSpecialRSAModulus()"
"test.16.er","11.858","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrime(int)"
"test.16.er","0.340","eu.prismacloud.primitives.zkpgs.util.GSUtils.isPrime(java.math.BigInteger)"
"test.16.er","0.220","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.commitmentGroupSetup(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.16.er","0.220","eu.prismacloud.primitives.zkpgs.util.GSUtils.computeCommitmentGroupModulus(java.math.BigInteger)"
"test.16.er","0.220","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateCommitmentGroup()"
"test.16.er","0.220","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrimeWithFactors(java.math.BigInteger)"
"test.16.er","0.210","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomNumberWithFactors(java.math.BigInteger)"
"test.16.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.EEAlgorithm.computeEEAlgorithm(java.math.BigInteger, java.math.BigInteger)"
"test.16.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.16.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRElementPQ.modPow(java.math.BigInteger)"
"test.16.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRGroupPQ.computeEEA(java.math.BigInteger, java.math.BigInteger)"
"test.16.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.QRGroupPQ.<init>(java.math.BigInteger, java.math.BigInteger)"
"test.16.er","0.010","eu.prismacloud.primitives.zkpgs.util.crypto.SafePrime.<clinit>()"
"test.16.er","0.010","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFactory.getInstance(java.lang.String)"
"test.16.er","0.010","eu.prismacloud.primitives.zkpgs.util.GSUtils.createRandomNumber(java.math.BigInteger, java.math.BigInteger)"
"test.17.er","22.486","eu.prismacloud.primitives.zkpgs.keys.SignerKeyPair.keyGen(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.17.er","22.316","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.computeSpecialRSAModulus(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.17.er","22.316","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomSafePrime(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.17.er","22.316","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateSpecialRSAModulus()"
"test.17.er","21.735","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrime(int)"
"test.17.er","0.600","eu.prismacloud.primitives.zkpgs.util.GSUtils.isPrime(java.math.BigInteger)"
"test.17.er","0.150","eu.prismacloud.primitives.zkpgs.util.CryptoUtilsFacade.commitmentGroupSetup(eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters)"
"test.17.er","0.150","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateCommitmentGroup()"
"test.17.er","0.140","eu.prismacloud.primitives.zkpgs.util.GSUtils.computeCommitmentGroupModulus(java.math.BigInteger)"
"test.17.er","0.140","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomPrimeWithFactors(java.math.BigInteger)"
"test.17.er","0.130","eu.prismacloud.primitives.zkpgs.util.GSUtils.generateRandomNumberWithFactors(java.math.BigInteger)"
"test.17.er","0.010","eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters.createKeyGenParameters(int, int, int, int, int, int, int, int, int, int, int, int)"
"test.17.er","0.010","eu.prismacloud.primitives.zkpgs.parameters.KeyGenParameters.<init>(int, int, int, int, int, int, int, int, int, int, int, int)"
