"Benchmark","Mode","Score","Unit","Param: l_n"
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",10.739674,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",3.348271,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",4.596333,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",5.367641,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",6.192499,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",3.307568,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",5.469280,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",5.950469,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",2.913444,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",3.011085,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",5.889995,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",3.112610,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",3.915219,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",5.451878,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",8.772529,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",3.206641,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",5.341807,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",2.549975,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",4.135518,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",2.587727,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",5.373276,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",4.028122,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",2.828263,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",4.813129,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",4.901213,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",3.279642,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",5.805775,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",2.840733,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",3.970538,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",5.057009,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",6.064774,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",7.166151,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",5.614555,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",4.122493,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",2.970481,"s/op",1024
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",14.143997,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",20.219784,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",20.729468,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",110.873569,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",54.054537,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",51.669018,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",22.666981,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",71.655874,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",25.188253,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",17.857734,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",19.363465,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",25.724449,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",107.295638,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",76.503798,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",54.949063,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",46.674969,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",16.098992,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",57.186959,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",31.762820,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",133.740328,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",34.036448,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",45.347038,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",145.106096,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",78.699709,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",34.921506,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",83.135733,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",46.007052,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",47.050920,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",24.560476,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",35.046323,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",36.951852,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",22.453857,"s/op",2048
"eu.prismacloud.primitives.grs.bench.KeyGenBenchmark.measureKeyGen","Average time, time/op",10.145630,"s/op",2048
