"Benchmark","Mode","Score","Unit","Param: bases","Param: l_n"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1973.315503","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1914.889584","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1968.620731","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2060.953978","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2149.849731","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1836.469979","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1934.502270","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2507.726092","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2000.694685","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1946.661446","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2548.004352","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2035.287927","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2154.917689","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2160.798879","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1938.349266","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1762.241189","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2170.325682","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2018.539088","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2129.858007","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2060.731107","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2170.439708","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2091.866105","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2071.908720","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2009.467100","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1913.709943","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1820.945824","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2194.635101","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1816.623985","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1846.714736","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1872.902462","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","1962.502756","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2210.248903","ms/op","3000","1024"
"eu.prismacloud.primitives.grs.bench.IssuingBenchmark.SerializeGSBenchmark.issuing","Single shot invocation time","2006.830890","ms/op","3000","1024"
